text,price symbol,price,claimed,attributes,opentime
Tacos El Gordo,$,Under $10,1,"{'Takes Reservations': 'No', 'Delivery': 'No', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Google Pay': 'No', 'Accepts Cryptocurrency': 'No', 'Good For': 'Lunch, Dinner, Late Night', 'Parking': 'Private Lot', 'Bike Parking': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Casual', 'Noise Level': 'Loud', 'Alcohol': 'No', 'Good For Happy Hour': 'No', 'Outdoor Seating': 'No', 'Wi-Fi': 'No', 'Has TV': 'No', 'Dogs Allowed': 'No', 'Drive-Thru': 'No', 'Caters': 'No'}","{'Mon': '10:00 am-2:00 am', 'Tue': '10:00 am-2:00 am', 'Wed': '10:00 am-2:00 am', 'Thu': '10:00 am-2:00 am', 'Fri': '10:00 am-4:00 am', 'Sat': '10:00 am-4:00 am', 'Sun': '10:00 am-2:00 am'}"
Therapy,$$,$11-30,1,"{'Has Soy-free Options': 'Yes', 'Liked by Vegans': 'Yes', 'Has Gluten-free Options': 'Yes', 'Liked by Vegetarians': 'Yes', 'Takes Reservations': 'Yes', 'Delivery': 'No', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Google Pay': 'No', 'Accepts Cryptocurrency': 'No', 'Good For': 'Lunch, Dinner', 'Parking': 'Street', 'Bike Parking': 'Yes', 'Wheelchair Accessible': 'Yes', 'Good for Kids': 'No', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Casual, Trendy', 'Noise Level': 'Average', 'Alcohol': 'Full Bar', 'Good For Happy Hour': 'Yes', 'Outdoor Seating': 'No', 'Wi-Fi': 'Free', 'Has TV': 'Yes', 'Dogs Allowed': 'No', 'Waiter Service': 'Yes', 'Drive-Thru': 'No', 'Caters': 'No', 'Offers Military Discount': 'Yes'}","{'Mon': '11:30 am-11:00 pm', 'Tue': '11:30 am-11:00 pm', 'Wed': '11:30 am-11:00 pm', 'Thu': '11:30 am-11:00 pm', 'Fri': '11:30 am-12:00 am', 'Sat': '11:30 am-12:00 am', 'Sun': '11:30 am-11:00 pm'}"
Buddy V’s Ristorante,$$,$11-30,1,"{'Liked by Vegans': 'Yes', 'Liked by Vegetarians': 'Yes', 'Takes Reservations': 'Yes', 'Delivery': 'No', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Google Pay': 'No', 'Good For': 'Lunch, Dinner, Dessert', 'Parking': 'Garage', 'Bike Parking': 'No', 'Wheelchair Accessible': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Casual', 'Noise Level': 'Average', 'Alcohol': 'Full Bar', 'Good For Happy Hour': 'Yes', 'Outdoor Seating': 'Yes', 'Wi-Fi': 'Free', 'Has TV': 'No', 'Dogs Allowed': 'No', 'Waiter Service': 'Yes', 'Caters': 'No'}","{'Mon': '11:30 am-10:00 pm', 'Tue': '11:30 am-10:00 pm', 'Wed': '11:30 am-10:00 pm', 'Thu': '11:30 am-10:00 pm', 'Fri': '11:30 am-10:00 pm', 'Sat': '11:30 am-10:00 pm', 'Sun': '10:30 am-10:00 pm'}"
Momofuku,$$,$11-30,1,"{'Has Dairy-free Options': 'Yes', 'Liked by Vegans': 'Yes', 'Liked by Vegetarians': 'Yes', 'Takes Reservations': 'Yes', 'Delivery': 'No', 'Take-out': 'No', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Google Pay': 'No', 'Good For': 'Lunch, Dinner', 'Parking': 'Valet, Garage', 'Bike Parking': 'No', 'Wheelchair Accessible': 'Yes', 'Good for Kids': 'No', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Casual, Trendy', 'Noise Level': 'Average', 'Alcohol': 'Full Bar', 'Outdoor Seating': 'No', 'Wi-Fi': 'No', 'Has TV': 'No', 'Dogs Allowed': 'No', 'Waiter Service': 'Yes', 'Caters': 'No'}","{'Mon': '11:00 am-11:00 pm', 'Tue': '11:00 am-11:00 pm', 'Wed': '11:00 am-11:00 pm', 'Thu': '11:00 am-11:00 pm', 'Fri': '11:00 am-11:00 pm', 'Sat': '11:00 am-11:00 pm', 'Sun': '11:00 am-11:00 pm'}"
Firefly,$$,$11-30,1,"{'Has Dairy-free Options': 'Yes', 'Liked by Vegans': 'Yes', 'Happy Hour Specials': 'Yes', 'Has Gluten-free Options': 'Yes', 'Liked by Vegetarians': 'Yes', 'Takes Reservations': 'Yes', 'Delivery': 'Yes', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Google Pay': 'No', 'Good For': 'Dinner, Late Night', 'Parking': 'Private Lot', 'Bike Parking': 'Yes', 'Good for Kids': 'No', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Casual, Trendy', 'Noise Level': 'Average', 'Alcohol': 'Full Bar', 'Good For Happy Hour': 'Yes', 'Outdoor Seating': 'Yes', 'Wi-Fi': 'Free', 'Has TV': 'Yes', 'Dogs Allowed': 'No', 'Caters': 'Yes'}","{'Mon': '11:30 am-1:00 am', 'Tue': '11:30 am-1:00 am', 'Wed': '11:30 am-1:00 am', 'Thu': '11:30 am-1:00 am', 'Fri': '11:30 am-2:00 am', 'Sat': '11:30 am-2:00 am', 'Sun': '11:00 am-1:00 am'}"
Gordon Ramsay Burger,$$,$11-30,1,"{'Has Soy-free Options': 'Yes', 'Has Dairy-free Options': 'Yes', 'Liked by Vegans': 'Yes', 'Has Gluten-free Options': 'Yes', 'Liked by Vegetarians': 'Yes', 'Takes Reservations': 'No', 'Delivery': 'No', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Google Pay': 'Yes', 'Good For': 'Lunch, Dinner', 'Parking': 'Garage', 'Bike Parking': 'No', 'Wheelchair Accessible': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Casual, Touristy, Trendy', 'Noise Level': 'Loud', 'Alcohol': 'Full Bar', 'Outdoor Seating': 'No', 'Wi-Fi': 'Free', 'Has TV': 'Yes', 'Dogs Allowed': 'No', 'Waiter Service': 'Yes', 'Drive-Thru': 'No', 'Caters': 'No'}","{'Mon': '11:00 am-12:00 am', 'Tue': '11:00 am-12:00 am', 'Wed': '11:00 am-12:00 am', 'Thu': '11:00 am-12:00 am', 'Fri': '11:00 am-2:00 am', 'Sat': '11:00 am-2:00 am', 'Sun': '11:00 am-12:00 am'}"
El Dorado Cantina,$$,$11-30,1,"{'Happy Hour Specials': 'Yes', 'Has Kosher Options': 'Yes', 'Has Keto Options': 'Yes', 'Has Gluten-free Options': 'Yes', 'Liked by Vegetarians': 'Yes', 'Has Soy-free Options': 'Yes', 'Liked by Vegans': 'Yes', 'Has Dairy-free Options': 'Yes', 'Takes Reservations': 'Yes', 'Delivery': 'Yes', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Google Pay': 'No', 'Good For': 'Lunch, Dinner, Late Night, Dessert', 'Parking': 'Valet, Private Lot', 'Bike Parking': 'Yes', 'Wheelchair Accessible': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Casual', 'Noise Level': 'Average', 'Good For Dancing': 'No', 'Alcohol': 'Full Bar', 'Good For Happy Hour': 'Yes', 'Best Nights': 'Mon, Fri, Sat', 'Coat Check': 'Yes', 'Smoking': 'No', 'Outdoor Seating': 'No', 'Wi-Fi': 'Free', 'Has TV': 'Yes', 'Dogs Allowed': 'No', 'Waiter Service': 'Yes', 'Drive-Thru': 'No', 'Caters': 'Yes', 'Has Pool Table': 'No'}",{}
Best Friend by Roy Choi,$$,$11-30,1,"{'Has Keto Options': 'Yes', 'Liked by Vegans': 'Yes', 'Liked by Vegetarians': 'Yes', 'Takes Reservations': 'Yes', 'Delivery': 'No', 'Accepts Credit Cards': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Alcohol': 'Full Bar', 'Outdoor Seating': 'No', 'Has TV': 'No', 'Dogs Allowed': 'No', 'Waiter Service': 'Yes', 'Drive-Thru': 'No'}","{'Mon': '5:00 pm-10:00 pm', 'Tue': '5:00 pm-10:00 pm', 'Wed': '5:00 pm-10:00 pm', 'Thu': '5:00 pm-10:00 pm', 'Fri': '5:00 pm-10:00 pm', 'Sat': '5:00 pm-10:00 pm', 'Sun': '5:00 pm-10:00 pm'}"
Mian Sichuan Noodles,$$,$11-30,1,"{'Has Dairy-free Options': 'Yes', 'Liked by Vegans': 'Yes', 'Liked by Vegetarians': 'Yes', 'Takes Reservations': 'Yes', 'Delivery': 'No', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Google Pay': 'No', 'Accepts Cryptocurrency': 'No', 'Good For': 'Lunch, Dinner', 'Bike Parking': 'No', 'Wheelchair Accessible': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Casual', 'Noise Level': 'Average', 'Alcohol': 'No', 'Outdoor Seating': 'No', 'Wi-Fi': 'No', 'Has TV': 'No', 'Dogs Allowed': 'No', 'Waiter Service': 'Yes', 'Caters': 'No', 'Gender Neutral Restrooms': 'Yes'}","{'Mon': '10:30 am-9:00 pm', 'Tue': '10:30 am-9:00 pm', 'Wed': '10:30 am-9:00 pm', 'Thu': '10:30 am-9:00 pm', 'Fri': '10:30 am-9:00 pm', 'Sat': '10:30 am-9:00 pm', 'Sun': '10:30 am-9:00 pm'}"
Chubby Cattle,$$,$11-30,1,"{'Happy Hour Specials': 'Yes', 'Has Keto Options': 'Yes', 'Has Gluten-free Options': 'Yes', 'Liked by Vegetarians': 'Yes', 'Has Soy-free Options': 'Yes', 'Liked by Vegans': 'Yes', 'Has Dairy-free Options': 'Yes', 'Takes Reservations': 'Yes', 'Delivery': 'No', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Cryptocurrency': 'No', 'Good For': 'Dinner', 'Parking': 'Street, Private Lot', 'Bike Parking': 'Yes', 'Wheelchair Accessible': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Casual, Trendy', 'Noise Level': 'Average', 'Alcohol': 'Full Bar', 'Outdoor Seating': 'No', 'Wi-Fi': 'Free', 'Has TV': 'Yes', 'Dogs Allowed': 'No', 'Waiter Service': 'Yes', 'Caters': 'Yes'}","{'Mon': '5:00 pm-11:45 pm', 'Tue': '5:00 pm-11:45 pm', 'Wed': '5:00 pm-11:45 pm', 'Thu': '5:00 pm-11:45 pm', 'Fri': '5:00 pm-11:45 pm', 'Sat': '5:00 pm-11:45 pm', 'Sun': '5:00 pm-11:45 pm'}"
